FLUXO DE POTÊNCIA EM SISTEMAS ELÉTRICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
FENOMENOS DE TRANSPORTE V;1;3;0;2;1;1;8;1;7;5;6;4;2;3;0
TÓPICOS EM LINGUAGENS DE PROGRAMAÇÃO I;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
DINAMICA E CONTROLE DE SIST DE POTENCIA;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
FÍSICA EXPERIMENTAL II;0;0;0;0;0;0;0;0;0;0;0;4;4;9;28
INSTALACOES ELETRICAS DE BAIXA TENSAO I;1;0;0;0;0;1;2;0;0;0;0;0;0;4;0
TRANSMISSÃO DE ENERGIA ELÉTRICA II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECOLOGIA GERAL;2;1;1;0;0;1;2;0;4;1;1;9;4;2;7
PROGRAMAÇÃO DE COMPUTADORES I;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
INTRODUÇÃO AOS MICROCONTROLADORES;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4
RESISTENCIA DOS MATERIAIS IX;4;9;15;14;11;14;20;18;0;0;2;7;1;0;3
EQUACOES DIFERENCIAIS APLICADAS;11;12;16;19;16;18;20;23;9;3;25;8;18;0;0
MAQUINAS ELETRICAS II;0;7;7;2;2;4;0;1;1;0;1;3;0;0;0
ENGENHARIA DE MANUTENCAO;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0
ESTATÍSTICA BÁSICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
FENOMENOS ELETROMAGNETICOS;7;2;1;3;7;3;9;11;10;3;16;11;15;14;0
FISICA GERAL E EXPERIMENTAL XIX;15;9;17;11;9;11;18;8;11;5;34;0;0;0;0
CALCULO DIFER E INTEGRAL APLICADO II;18;9;25;11;12;19;15;24;16;1;16;15;9;0;0
INTRODUÇÃO À ENGENHARIA DOS MATERIAIS;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
GERENCIAMENTO DE PROJETOS;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
FÍSICA EXPERIMENTAL IV;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
TEORIA DE CONTROLE;17;19;18;24;11;16;22;6;3;0;3;4;24;19;13
FUNDAMENTOS DE DESENHO TÉCNICO II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
ESTATISTICA XI;24;19;23;29;33;26;16;24;21;14;6;19;26;0;0
ANÁLISE DE TRANSITÓRIOS ELETROMAGNÉTICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ANALISE DE SISTEMAS ELETRICOS II;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0
METODOLOGIA CIENT PARA ENGENHARIA;2;3;2;0;0;4;0;0;5;1;0;0;0;1;0
SUBESTACOES DE ENERGIA ELETRICA I;0;3;3;1;0;6;2;2;2;0;0;2;0;0;0
INTRODUÇÃO À INTELIGÊNCIA COMPUTACIONAL;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
ANÁLISE DE INVESTIMENTOS EM SISTEMAS DE ENERGIA ELÉTRICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
INTROD.A SIST.DE AUTOMAC.DA DISTRIBUICAO;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0
ESTATÍSTICA BÁSICA PARA ENGENHARIA;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0
TRANSMISSAO DE ENERGIA ELETRICA II;0;0;0;0;0;10;7;0;0;0;0;0;0;0;0
METODOLOGIA DE DESENVOLV. DO PRODUTO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
FÍSICA IV;0;0;0;0;0;0;0;0;0;0;0;2;9;2;1
FUNDAMENTOS DE ECONOMIA;3;4;5;5;12;4;4;2;4;2;11;8;8;6;0
SISTEMAS ISOSTÁTICOS I;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INTRODUÇÃO À ENERGIA EOLICA;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
PESQUISA OPERACIONAL - MOD ESTOCASTICOS;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
CALCULO I -A-;0;0;0;0;0;0;0;0;0;0;0;38;39;44;0
ECONOMIA APLICADA À ENGENHARIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ENGENHARIA DO MEIO AMBIENTE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELETRÔNICA DE POTÊNCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
CALCULO II -A-;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0
INTRODUÇÃO ÀO DIREITO II;2;0;0;1;0;1;1;1;1;0;2;0;1;0;0
MÉTODOS MATEMÁTICOS I;0;0;0;0;0;0;0;0;0;0;0;1;20;20;33
CALCULO DIFERENCIAL E INTEGRAL IV;21;21;21;25;21;24;19;22;11;5;40;0;0;0;0
PROJETO ASSISTIDO POR COMPUTADOR;1;0;0;0;0;0;0;3;0;0;0;0;0;2;0
TOPICOS ESP EM SISTEMAS ELETRICOS I;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0
ELETROMAGNETISMO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
GERACAO DE ENERGIA ELETRICA;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
DESENHO BASICO;6;5;3;9;3;4;1;1;1;0;1;3;4;0;0
INTRODUÇÃO À GEOMETRIA DESCRITIVA;17;31;30;23;32;17;23;15;15;8;18;20;7;12;0
FÍSICA EXPERIMENTAL III;0;0;0;0;0;0;0;0;0;0;0;7;8;14;9
MAQUINAS DE FLUXO;1;1;1;0;0;0;2;2;1;0;0;0;2;0;0
INTRODUÇÃO À CIRCUITOS ELETRICOS;4;5;1;4;7;7;3;5;3;1;6;8;4;17;0
EFICIÊNCIA ENERGÉTICA II;0;0;0;0;0;0;0;0;5;0;1;2;0;0;0
IMPACTOS AMBIEN NOS SIST DE TRANSPORTES;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
TOPOGRAFIA I;2;0;0;0;0;1;3;0;0;0;1;1;3;0;0
EFICIENCIA ENERGETICA;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
FISICA GERAL E EXPERIMENTAL XX;11;10;11;11;19;14;11;15;10;8;6;0;0;0;0
SISTEMA ESTRUTURAIS II;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
EQUAÇÕES DIFERENCIAIS;0;0;0;0;0;0;0;0;0;0;0;0;0;41;27
ÁLGEBRA LINEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ACIONAMENTO DE MAQUINAS ELETRICAS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CÁLCULO III -A-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
GERAÇÃO DE ENERGIA ELÉTRICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
MEDIDAS ELÉTRICAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
INTRODUÇÃO À INFORMÁTICA;4;7;8;7;6;3;5;4;4;4;2;10;5;4;0
EQUIPAMENTOS ELÉTRICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ADMINISTRACAO E ORGANIZACAO I;3;2;2;4;2;2;5;12;7;2;1;1;3;4;2
APLICACAO DE COMPUT EM SIST ELETRICOS II;1;6;7;8;3;4;4;18;6;0;0;3;12;8;0
GEOMETRIA DESCRITIVA VI;6;9;6;6;6;9;5;6;8;4;3;4;6;10;2
MAQUINAS TERMICAS IV;17;15;7;7;5;5;10;5;2;3;7;6;9;12;0
MÁQUINAS TÉRMICAS E DE FLUXO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FISICA GERAL E EXPERIMENTAL XVIII;40;49;40;35;42;24;44;51;54;8;44;0;0;0;0
CÁLCULO II-A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
INTRODUÇÃO À ENGENHARIA;5;10;5;5;1;3;9;4;5;5;5;23;7;13;0
INTRODUÇÃO ÀOS METODOS NUMERICOS;8;9;10;23;12;3;10;11;8;2;11;5;11;6;0
